term,definition,source_glossary,math_area,scope,extraction_method,section,term_wikilink,is_stub,has_math,has_disambiguation,line_number,definition_wikilinks_count
center,The centralizer of a subset $X$ of a Lie algebra $\mathfrak{g}$ is <math>C_{\mathfrak{g,Glossary of Lie groups and Lie algebras,algebra,primary,template,C,,False,True,False,72,0
central series,"A descending central series (or lower central series) is a sequence of ideals of a Lie algebra $L$ defined by $C^0(L) = L , \, C^1(L) = [L,L] , \, C^{n+1}(L) = [L, C^n(L)]$",Glossary of Lie groups and Lie algebras,algebra,primary,template,C,,False,True,False,79,1
Chevalley,"Claude Chevalley (1909 – 1984), a French mathematician",Glossary of Lie groups and Lie algebras,algebra,primary,template,C,,False,False,False,83,1
complex reflection group,complex reflection group,Glossary of Lie groups and Lie algebras,algebra,primary,template,C,,False,False,False,87,1
coroot,coroot,Glossary of Lie groups and Lie algebras,algebra,primary,template,C,,True,False,False,90,1
Coxeter,"H. S. M. Coxeter (1907 – 2003), a British-born Canadian geometer",Glossary of Lie groups and Lie algebras,algebra,primary,template,C,,False,False,False,93,1
derived algebra,"The derived algebra of a Lie algebra $\mathfrak{g}$ is $[\mathfrak{g}, \mathfrak{g} ]$. It is a subalgebra (in fact an ideal).",Glossary of Lie groups and Lie algebras,algebra,primary,template,D,,False,True,False,102,1
Dynkin,"Eugene Borisovich Dynkin (1924 – 2014), a Soviet and American mathematician",Glossary of Lie groups and Lie algebras,algebra,primary,template,D,,False,False,False,106,0
extension,An exact sequence $0 \to \mathfrak{g}' \to \mathfrak{g} \to \mathfrak{g} \to 0$ or $\mathfrak{g}$ is called a Lie algebra extension of $\mathfrak{g}$ by $\mathfrak{g}'$.,Glossary of Lie groups and Lie algebras,algebra,primary,template,E,,False,True,False,114,1
exponential map,The exponential map for a Lie group G with $\mathfrak g$ is a map $\mathfrak g \to G$ which is not necessarily a homomorphism but satisfies a certain universal property.,Glossary of Lie groups and Lie algebras,algebra,primary,template,E,,False,True,False,117,1
exponential,"E6, E7, E7½, E8, En, Exceptional Lie algebra",Glossary of Lie groups and Lie algebras,algebra,primary,template,E,,False,False,False,120,6
free Lie algebra,F4,Glossary of Lie groups and Lie algebras,algebra,primary,template,F,,True,False,False,127,1
F,F4,Glossary of Lie groups and Lie algebras,algebra,primary,template,F,,True,False,False,129,1
fundamental,"For ""fundamental Weyl chamber"", see #Weyl.",Glossary of Lie groups and Lie algebras,algebra,primary,template,F,,False,False,False,132,2
G,G2,Glossary of Lie groups and Lie algebras,algebra,primary,template,G,,True,False,False,140,1
generalized,"For ""Generalized Cartan matrix"", see #Cartan.",Glossary of Lie groups and Lie algebras,algebra,primary,template,G,,False,False,False,143,2
group,Group analysis of differential equations.,Glossary of Lie groups and Lie algebras,algebra,primary,template,G,,False,False,False,148,1
homomorphism,A Lie group homomorphism is a group homomorphism that is also a smooth map.,Glossary of Lie groups and Lie algebras,algebra,primary,template,H,,False,False,False,155,1
Harish-Chandra,"Harish-Chandra, (1923 – 1983), an Indian American mathematician and physicist",Glossary of Lie groups and Lie algebras,algebra,primary,template,H,,False,False,False,159,1
highest,"The theorem of the highest weight, stating the highest weights classify the irreducible representations.",Glossary of Lie groups and Lie algebras,algebra,primary,template,H,,False,False,False,164,1
ideal,"An ideal of a Lie algebra $\mathfrak{g}$ is a subspace $\mathfrak{g'}$ such that $[\mathfrak{g'}, \mathfrak{g}] \subseteq \mathfrak{g'}.$ Unlike in ring theory, there is no distinguishability of left ideal and right ideal.",Glossary of Lie groups and Lie algebras,algebra,primary,template,I,,False,True,False,173,1
index,Index of a Lie algebra,Glossary of Lie groups and Lie algebras,algebra,primary,template,I,,False,False,False,175,1
invariant convex cone,An invariant convex cone is a closed convex cone in the Lie algebra of a connected Lie group that is invariant under inner automorphisms.,Glossary of Lie groups and Lie algebras,algebra,primary,template,I,,False,False,False,178,1
Iwasawa decomposition,Iwasawa decomposition,Glossary of Lie groups and Lie algebras,algebra,primary,template,I,,False,False,False,181,1
Jacobi identity,"thumb|Carl Gustav Jacob JacobiCarl Gustav Jacob Jacobi (1804 – 1851), a German mathematician.",Glossary of Lie groups and Lie algebras,algebra,primary,template,J,,False,False,False,188,2
Kac–Moody algebra,Kac–Moody algebra,Glossary of Lie groups and Lie algebras,algebra,primary,template,K,,False,False,False,197,1
Killing,"Wilhelm Killing (1847 – 1923), a German mathematician.",Glossary of Lie groups and Lie algebras,algebra,primary,template,K,,False,False,False,200,1
Kirillov,Kirillov character formula,Glossary of Lie groups and Lie algebras,algebra,primary,template,K,,False,False,False,204,1
Langlands,Langlands decomposition,Glossary of Lie groups and Lie algebras,algebra,primary,template,L,,False,False,False,211,1
Lie,"thumb|Sophus LieSophus Lie (1842 – 1899), a Norwegian mathematician",Glossary of Lie groups and Lie algebras,algebra,primary,template,L,,False,False,False,215,3
Levi,Levi decomposition,Glossary of Lie groups and Lie algebras,algebra,primary,template,L,,False,False,False,228,1
nilpotent,A nilpotent Lie group.,Glossary of Lie groups and Lie algebras,algebra,primary,template,N,,False,False,False,235,1
normalizer,The normalizer of a subspace $K$ of a Lie algebra $\mathfrak{g}$ is <math>N_{\mathfrak{g,Glossary of Lie groups and Lie algebras,algebra,primary,template,N,,False,True,False,241,0
maximal,"For ""maximal compact subgroup"", see #compact.",Glossary of Lie groups and Lie algebras,algebra,primary,template,M,,False,False,False,249,2
parabolic,Parabolic subgroup,Glossary of Lie groups and Lie algebras,algebra,primary,template,P,,False,False,False,258,1
positive,"For ""positive root"", see #positive.",Glossary of Lie groups and Lie algebras,algebra,primary,template,P,,False,False,False,262,2
quantum,quantum group.,Glossary of Lie groups and Lie algebras,algebra,primary,template,Q,,False,False,False,271,1
quantized,quantized enveloping algebra.,Glossary of Lie groups and Lie algebras,algebra,primary,template,Q,,False,False,False,274,1
radical,The radical of a Lie group.,Glossary of Lie groups and Lie algebras,algebra,primary,template,R,,False,False,False,281,1
real,real form.,Glossary of Lie groups and Lie algebras,algebra,primary,template,R,,False,False,False,285,1
reductive,A reductive group.,Glossary of Lie groups and Lie algebras,algebra,primary,template,R,,False,False,False,288,1
reflection,"A reflection group, a group generated by reflections.",Glossary of Lie groups and Lie algebras,algebra,primary,template,R,,False,False,False,292,1
regular,A regular element of a Lie algebra.,Glossary of Lie groups and Lie algebras,algebra,primary,template,R,,False,False,False,295,1
root,"root of a semisimple Lie algebra: : Let $\mathfrak{g}$ be a semisimple Lie algebra, $\mathfrak{h}$ be a Cartan subalgebra of $\mathfrak{g}$. For $\alpha \in \mathfrak{h}^*$, let $\mathfrak{g_\alpha} := \{ x \in \mathfrak{g} | [h,x] = \alpha(h) x \, \forall h \in \mathfrak{h} \} $. $\alpha$ is called a root of $\mathfrak{g}$ if it is nonzero and $\mathfrak{g_\alpha} \ne \{0\} $ : The set of all roots is denoted by $\Phi$ ; it forms a root system.",Glossary of Lie groups and Lie algebras,algebra,primary,template,R,,False,True,False,301,1
Serre,"Serre's theorem states that, given a (finite reduced) root system $\Phi$, there exists a unique (up to a choice of a base) semisimple Lie algebra whose root system is $\Phi$.",Glossary of Lie groups and Lie algebras,algebra,primary,template,S,,False,True,False,325,1
simple,A simple Lie group is a connected Lie group that is not abelian which does not have nontrivial connected normal subgroups.,Glossary of Lie groups and Lie algebras,algebra,primary,template,S,,False,False,False,328,1
semisimple,A semisimple Lie group,Glossary of Lie groups and Lie algebras,algebra,primary,template,S,,False,False,False,386,1
solvable,A solvable Lie group,Glossary of Lie groups and Lie algebras,algebra,primary,template,S,,False,False,False,391,1
split,Stiefel diagram of a compact connected Lie group.,Glossary of Lie groups and Lie algebras,algebra,primary,template,S,,False,False,False,395,1
Stiefel,Stiefel diagram of a compact connected Lie group.,Glossary of Lie groups and Lie algebras,algebra,primary,template,S,,False,False,False,397,1
subalgebra,"A subspace $\mathfrak{g'}$ of a Lie algebra $\mathfrak{g}$ is called the subalgebra of $\mathfrak{g}$ if it is closed under bracket, i.e. $[\mathfrak{g'}, \mathfrak{g'}] \subseteq \mathfrak{g'}.$",Glossary of Lie groups and Lie algebras,algebra,primary,template,S,,False,True,False,400,0
Tits,Tits cone.,Glossary of Lie groups and Lie algebras,algebra,primary,template,T,,False,False,False,408,1
toral,toral Lie algebra,Glossary of Lie groups and Lie algebras,algebra,primary,template,T,,False,False,False,411,1
Weyl,"Hermann Weyl (1885 – 1955), a German mathematician",Glossary of Lie groups and Lie algebras,algebra,primary,template,W,,False,False,False,432,1
Affine connection,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,A,Affine connection,True,False,False,28,0
Alexandrov space,"a generalization of Riemannian manifolds with upper, lower or integral curvature bounds (the last one works only in dimension 2).",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,A,Alexandrov space,False,False,False,30,0
Almost flat manifold,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,A,Almost flat manifold,True,False,False,32,0
Arc-wise isometry,the same as path isometry.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,A,,True,False,False,34,0
Asymptotic cone,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,A,Asymptotic cone,True,False,False,36,0
Autoparallel,the same as totally geodesic.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,A,,True,False,False,38,0
Banach space,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,B,Banach space,True,False,False,42,0
Barycenter,", see center of mass.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,B,,False,False,False,44,0
Bi-Lipschitz map,A map $f:X\to Y$ is called bi-Lipschitz if there are positive constants c and C such that for any x and y in X $c|xy|_X\le|f(x)f(y)|_Y\le C|xy|_X.$,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,B,Bi-Lipschitz map,False,True,False,46,0
Boundary at infinity,"In general, a construction that may be regarded as a space of directions at infinity. For geometric examples, see for instance hyperbolic boundary, Gromov boundary, visual boundary, Tits boundary, Thurston boundary. See also projective space and compactification.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,B,,False,False,False,49,7
Busemann function,"given a ray, γ : [0, ∞)→X, the Busemann function is defined by$B_\gamma(p)=\lim_{t\to\infty}(|\gamma(t)-p|-t).$",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,B,Busemann function,False,True,False,51,1
Cartan connection,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Cartan connection,True,False,False,55,0
Cartan-Hadamard space,"is a complete, simply-connected, non-positively curved Riemannian manifold.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Hadamard space,False,False,False,57,0
Cartan–Hadamard theorem,"is the statement that a connected, simply connected complete Riemannian manifold with non-positive sectional curvature is diffeomorphic to Rn via the exponential map; for metric spaces, the statement that a connected, simply connected complete geodesic metric space with non-positive curvature in the sense of Alexandrov is a (globally) CAT(0) space.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Cartan–Hadamard theorem,False,False,False,59,1
Cartan (Élie),"The mathematician after whom Cartan-Hadamard manifolds, Cartan subalgebras, and Cartan connections are named (not to be confused with his son Henri Cartan).",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Élie Cartan,False,False,True,61,2
Center of mass,"A point $q\in M$ is called the center of mass of the points $p_1,p_2,\dots,p_k$ if it is a point of global minimum of the function",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,,False,True,False,65,0
Cheeger constant,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Cheeger constant,True,False,False,71,0
Christoffel symbol,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Christoffel symbol,True,False,False,73,0
Coarse geometry,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Coarse geometry,True,False,False,75,0
Collapsing manifold,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Collapsing manifold,True,False,False,77,0
Complete manifold,"According to the Riemannian Hopf-Rinow theorem, a Riemannian manifold is complete as a metric space, if and only if all geodesics can be infinitely extended.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Complete manifold,False,False,False,79,1
Complete metric space,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Complete metric space,True,False,False,81,0
Completion,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Complete space#Completion,True,False,False,83,0
Complex hyperbolic space,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Complex hyperbolic space,True,False,False,85,0
Conformal map,is a map which preserves angles.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Conformal map,False,False,False,87,0
Conformally flat,"a manifold M is conformally flat if it is locally conformally equivalent to a Euclidean space, for example standard sphere is conformally flat.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Conformally flat manifold,False,False,False,89,0
Conjugate points,two points p and q on a geodesic $\gamma$ are called conjugate if there is a Jacobi field on $\gamma$ which has a zero at p and q.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Conjugate points,False,True,False,91,0
Connection,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Connection (mathematics),True,False,False,93,0
Convex function,"A function f on a Riemannian manifold is a convex if for any geodesic $\gamma$ the function $f\circ\gamma$ is convex. A function f is called $\lambda$-convex if for any geodesic $\gamma$ with natural parameter $t$, the function $f\circ\gamma(t)-\lambda t^2$ is convex.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Geodesic convexity,False,True,False,95,2
Convex,"A subset K of a Riemannian manifold M is called convex if for any two points in K there is a unique shortest path connecting them which lies entirely in K, see also totally convex.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Geodesic convexity,False,False,False,97,0
Convexity radius,at a point $p$ of a Riemannian manifold is the supremum of radii of balls centered at $p$ that are (totally) convex. The convexity radius of the manifold is the infimum of the convexity radii at its points; for a compact manifold this is a positive number. Sometimes the additional requirement is made that the distance function to $p$ in these balls is convex.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,,False,True,False,99,0
Cotangent bundle,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Cotangent bundle,True,False,False,101,0
Covariant derivative,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Covariant derivative,True,False,False,103,0
Cubical complex,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Cubical complex,True,False,False,105,0
Cut locus,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,C,Cut locus,True,False,False,107,0
Diameter,of a metric space is the supremum of distances between pairs of points.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,D,Diameter of a metric space,False,False,False,111,0
Developable surface,is a surface isometric to the plane.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,D,Developable surface,False,False,False,113,1
Dilation,same as Lipschitz constant.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,D,,False,False,False,115,0
Ehresmann connection,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,E,Ehresmann connection,True,False,False,119,0
Einstein manifold,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,E,Einstein manifold,True,False,False,121,0
Euclidean geometry,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,E,Euclidean geometry,True,False,False,123,0
Exponential map,"Exponential map (Lie theory), Exponential map (Riemannian geometry)",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,E,,False,False,False,125,2
Finsler metric,A generalization of Riemannian manifolds where the scalar product on the tangent space is replaced by a norm.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,F,Finsler metric,False,False,False,129,0
First fundamental form,for an embedding or immersion is the pullback of the metric tensor.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,F,First fundamental form,False,False,False,131,3
Flat manifold,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,F,Flat manifold,True,False,False,133,0
Geodesic,is a curve which locally minimizes distance.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,G,Geodesic,False,False,False,137,2
Geodesic equation,is the differential equation whose local solutions are the geodesics.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,G,Geodesic equation,False,False,False,139,0
Geodesic flow,"is a flow on a tangent bundle TM of a manifold M, generated by a vector field whose trajectories are of the form $(\gamma(t),\gamma'(t))$ where $\gamma$ is a geodesic.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,G,Geodesic flow,False,True,False,141,5
Gromov-Hausdorff convergence,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,G,Gromov-Hausdorff convergence,True,False,False,143,0
Gromov-hyperbolic metric space,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,G,Hyperbolic metric space,True,False,False,145,0
Geodesic metric space,is a metric space where any two points are the endpoints of a minimizing geodesic.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,G,Geodesic metric space,False,False,False,147,1
Hadamard space,is a complete simply connected space with nonpositive curvature.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,H,Hadamard space,False,False,False,151,0
Hausdorff dimension,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,H,Hausdorff dimension,True,False,False,153,0
Hausdorff distance,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,H,Hausdorff distance,True,False,False,155,0
Hausdorff measure,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,H,Hausdorff measure,True,False,False,157,0
Hilbert space,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,H,Hilbert space,True,False,False,159,0
Hölder map,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,H,Hölder condition,True,False,False,161,0
Holonomy group,is the subgroup of isometries of the tangent space obtained as parallel transport along closed curves.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,H,Holonomy group,False,False,False,163,0
Horosphere,a level set of Busemann function.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,H,Horosphere,False,False,False,165,0
Hyperbolic geometry,(see also Riemannian hyperbolic space),Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,H,Hyperbolic geometry,False,False,False,167,0
Hyperbolic link,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,H,Hyperbolic link,True,False,False,169,0
Injectivity radius,The injectivity radius at a point p of a Riemannian manifold is the supremum of radii for which the exponential map at p is a diffeomorphism. The injectivity radius of a Riemannian manifold is the infimum of the injectivity radii at all points. See also cut locus.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,I,,False,False,False,173,3
Infranilmanifold,Given a simply connected nilpotent Lie group N acting on itself by left multiplication and a finite group of automorphisms F of N one can define an action of the semidirect product $N \rtimes F$ on N. An orbit space of N by a discrete subgroup of $N \rtimes F$ which acts freely on N is called an infranilmanifold. An infranilmanifold is finitely covered by a nilmanifold.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,I,,False,True,False,177,2
Isometric embedding,is an embedding preserving the Riemannian metric.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,I,Isometric embedding,False,False,False,179,0
Isometry,is a surjective map which preserves distances.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,I,Isometry,False,False,False,181,0
Isoperimetric function,"of a metric space $X$ measures ""how efficiently rectifiable loops are coarsely contractible with respect to their length"". For the Cayley 2-complex of a finite presentation, they are equivalent to the Dehn function of the group presentation. They are invariant under quasi-isometries.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,I,,False,True,False,183,1
Intrinsic metric,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,I,Intrinsic metric,True,False,False,185,0
Jacobi field,"A Jacobi field is a vector field on a geodesic γ which can be obtained on the following way: Take a smooth one parameter family of geodesics $\gamma_\tau$ with $\gamma_0=\gamma$, then the Jacobi field is described by $J(t)=\left. \frac{\partial\gamma_\tau(t)}{\partial \tau} \right|_{\tau=0}.$",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,J,Jacobi field,False,True,False,189,2
Jordan curve,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,J,Jordan curve theorem,True,False,False,192,0
Kähler-Einstein metric,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,K,Kähler-Einstein metric,True,False,False,196,0
Kähler metric,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,K,Kähler metric,True,False,False,198,0
Killing vector field,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,K,Killing vector field,True,False,False,200,0
Koszul Connection,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,K,Connection (vector bundle),True,False,False,202,0
Length metric,the same as intrinsic metric.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,L,,True,False,False,206,0
Length space,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,L,Length space,True,False,False,208,0
Levi-Civita connection,is a natural way to differentiate vector fields on Riemannian manifolds.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,L,Levi-Civita connection,False,False,False,210,0
Linear connection,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,L,Linear connection,True,False,False,212,0
Lipschitz constant,of a map is the infimum of numbers L such that the given map is L-Lipschitz.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,L,Lipschitz continuity#Definitions,False,False,False,216,1
Lipschitz convergence,the convergence of metric spaces defined by Lipschitz distance.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,L,,False,False,False,218,0
Lipschitz distance,"between metric spaces is the infimum of numbers r such that there is a bijective bi-Lipschitz map between these spaces with constants exp(-r), exp(r).",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,L,,False,False,False,220,0
Lipschitz map,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,L,Lipschitz continuity,True,False,False,222,0
Locally symmetric space,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,L,Locally symmetric space,True,False,False,224,0
Logarithmic map,", or logarithm, is a right inverse of Exponential map.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,L,,False,False,False,226,0
Mean curvature,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,M,Mean curvature,True,False,False,230,0
Metric ball,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,M,Ball (mathematics)#In general metric spaces,True,False,False,232,0
Metric tensor,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,M,Metric tensor,True,False,False,234,0
Minkowski space,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,M,Minkowski space,True,False,False,236,0
Minimal surface,is a submanifold with (vector of) mean curvature zero.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,M,Minimal surface,False,False,False,238,0
Mostow's rigidity,"In dimension $\ge 3$, compact hyperbolic manifolds are classified by their fundamental group.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,M,Mostow rigidity theorem,False,True,False,240,0
Natural parametrization,is the parametrization by length.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,N,,False,False,False,244,1
Net,A subset S of a metric space X is called $\epsilon$-net if for any point in X there is a point in S on the distance $\le\epsilon$. This is distinct from topological nets which generalize limits.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,N,,False,True,False,246,1
Nilmanifold,"An element of the minimal set of manifolds which includes a point, and has the following property: any oriented $S^1$-bundle over a nilmanifold is a nilmanifold. It also can be defined as a factor of a connected nilpotent Lie group by a lattice.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,N,Nilmanifold,False,True,False,248,3
Normal bundle,"associated to an embedding of a manifold M into an ambient Euclidean space ${\mathbb R}^N$, the normal bundle is a vector bundle whose fiber at each point p is the orthogonal complement (in ${\mathbb R}^N$) of the tangent space $T_pM$.",Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,N,Normal bundle,False,True,False,250,0
Nonexpanding map,same as short map.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,N,,False,False,False,252,0
Orbifold,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,O,Orbifold,True,False,False,255,0
Orthonormal frame bundle,is the bundle of bases of the tangent space that are orthonormal for the Riemannian metric.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,O,Frame bundle#Orthonormal frame bundle,False,False,False,257,0
Parallel transport,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,P,Parallel transport,True,False,False,261,0
Path isometry,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,P,Isometry#Definition,True,False,False,263,0
Pre-Hilbert space,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,P,Pre-Hilbert space,True,False,False,265,0
Polish space,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,P,Polish space,True,False,False,267,0
Polyhedral space,a simplicial complex with a metric such that each simplex with induced metric is isometric to a simplex in Euclidean space.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,P,Polyhedral space,False,False,False,269,2
Principal curvature,is the maximum and minimum normal curvatures at a point on a surface.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,P,Principal curvature,False,False,False,271,0
Principal direction,is the direction of the principal curvatures.,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,P,,False,False,False,273,0
Product metric,,Glossary of Riemannian and metric geometry,geometry_topology,primary,bare_bold,P,Product metric,True,False,False,275,0
